date,open,high,low,close,volume
2023-01-03,100.2046,101.0754,99.838,100.4057,1663011.0
2023-01-04,99.5268,100.0518,98.4314,99.1928,1574511.0
2023-01-05,100.0194,100.3657,99.3668,100.1257,1582192.0
2023-01-06,101.5076,102.0669,100.4808,101.2959,2204091.0
2023-01-09,98.9783,99.2357,98.3582,98.9648,2250445.0
2023-01-10,97.3776,97.7929,97.2687,97.458,1842652.0
2023-01-11,97.2934,98.368,96.7544,97.6465,956279.0
2023-01-12,97.2816,98.2708,96.4595,97.3149,2970583.0
2023-01-13,97.0307,97.9673,96.5378,97.3343,1288625.0
2023-01-16,96.5633,96.5205,96.1938,96.3768,1006377.0
2023-01-17,97.728,98.0703,97.1558,97.4324,2114241.0
2023-01-18,98.224,98.5167,97.624,98.3808,1707224.0
2023-01-19,98.5576,99.3804,98.3791,98.4981,2154247.0
2023-01-20,99.725,100.6075,98.8898,99.8699,2726185.0
2023-01-23,100.3438,100.7271,100.0286,100.4701,1014114.0
2023-01-24,99.6284,99.6559,98.7308,99.4743,1424912.0
2023-01-25,99.9465,100.2193,99.0558,99.9542,1936457.0
2023-01-26,99.188,99.8148,98.3942,98.8441,2533144.0
2023-01-27,99.8292,100.4379,99.5386,99.9256,2121414.0
2023-01-30,100.1054,100.7106,99.2584,99.9057,1642122.0
2023-01-31,99.7435,100.3949,99.1028,99.724,2142134.0
2023-02-01,99.1065,99.5578,98.4857,98.9491,2955952.0
2023-02-02,100.3504,100.6719,99.7958,100.4403,1856117.0
2023-02-03,100.2842,101.2484,99.3496,100.2942,2743765.0
2023-02-06,99.7957,100.1893,99.2989,99.8188,2515903.0
2023-02-07,99.2707,100.0537,99.1614,99.4369,1462904.0
2023-02-08,100.2444,100.8425,99.6719,100.1119,1348906.0
2023-02-09,100.7218,101.2793,100.1336,100.5909,2494424.0
2023-02-10,101.2494,102.0866,100.9089,101.1294,1256455.0
2023-02-13,102.0053,101.9302,101.4419,101.6927,1541084.0
2023-02-14,104.6493,104.9286,103.5996,104.3468,1317873.0
2023-02-15,103.8018,104.3613,103.4584,103.8797,2133998.0
2023-02-16,103.3597,103.8267,102.2918,103.2827,1447107.0
2023-02-17,102.1878,102.5275,101.9888,102.3154,2248657.0
2023-02-20,103.1174,103.3402,102.9177,103.1126,2856657.0
2023-02-21,104.4254,104.917,103.7372,104.5508,2625109.0
2023-02-22,104.7881,104.8405,103.517,104.4497,2885498.0
2023-02-23,103.5136,103.9402,103.076,103.4384,853791.0
2023-02-24,102.4117,103.1222,102.1676,102.4564,1802001.0
2023-02-27,103.5438,103.9905,103.0212,103.2972,1284347.0
2023-02-28,103.8073,104.7506,103.6658,104.2599,2819310.0
2023-03-01,104.5582,105.4723,104.4336,104.9811,2366219.0
2023-03-02,104.3506,104.493,103.8373,104.1847,1504486.0
2023-03-03,104.5293,105.1746,104.3696,104.5167,2039751.0
